params,total_cycles,total_cost
3 3 0 3 0 1 0 1 0 0,788080.0,20872.64900891717
0 0 0 0 0 0 0 0 0 0,27149650.0,946.9475108610754
0 2 0 2 3 0 1 1 0 0,1724910.0,16464.018919801696
1 0 1 1 2 0 0 0 2 0,12603549.0625,4429.701911564724
1 2 2 0 0 2 2 1 0 0,3253875.0,10007.124190183222
2 0 2 2 3 2 0 1 1 0,2483583.75,17880.698167649236
2 2 3 1 2 1 3 1 1 0,1205623.125,44268.617535928264
3 1 0 0 1 1 2 0 0 0,1524205.0,11347.814243437188
3 3 0 3 0 1 0 1 1 0,1313572.5,20872.64900891717
0 0 0 0 0 0 0 0 1 0,41774866.875,946.9475108610754
0 2 0 2 3 0 1 1 1 0,2731561.875,16464.018919801696
1 0 1 1 2 0 0 1 0 0,3838015.0,4429.701911564724
1 2 2 0 0 2 2 1 1 0,4870546.875,10007.124190183222
2 0 2 2 3 2 0 1 2 0,4335016.25,17880.698167649236
2 2 3 1 2 1 3 1 2 0,2705540.625,44268.617535928264
3 1 0 0 1 1 2 0 1 0,2976013.125,11347.814243437188
3 3 0 3 0 1 0 1 2 0,1947108.125,20872.64900891717
0 0 0 0 0 0 0 1 0 0,27148210.0,946.9475108610754
0 2 0 2 3 0 2 0 0 0,1477720.0,17360.018919801696
1 0 1 1 2 0 0 1 1 0,6233596.875,4429.701911564724
1 2 2 0 0 2 2 1 2 0,8172048.4375,10007.124190183222
2 0 2 2 3 2 1 0 0 0,1341190.0,21720.698167649236
2 2 3 1 2 2 0 0 0 0,886435.0,16620.617535928264
3 1 0 0 1 1 2 0 2 0,6255227.5,11347.814243437188
3 3 0 3 0 1 1 0 0 0,511525.0,23432.64900891717
0 0 0 0 0 0 0 1 1 0,41774326.875,946.9475108610754
0 2 0 2 3 0 2 0 1 0,2442588.75,17360.018919801696
1 0 1 1 2 0 0 1 2 0,12603477.8125,4429.701911564724
1 2 2 0 1 0 0 0 0 0,2999810.0,4645.231105353535
2 0 2 2 3 2 1 0 1 0,2279936.25,21720.698167649236
2 2 3 1 2 2 0 0 1 0,1423321.875,16620.617535928264
3 1 0 0 1 1 2 1 0 0,1521505.0,11347.814243437188
3 3 0 3 0 1 1 0 1 0,821604.375,23432.64900891717
0 0 0 0 0 0 1 0 0 0,26621150.0,1586.9475108610754
0 2 0 2 3 0 2 1 0 0,1477720.0,17360.018919801696
1 0 1 1 2 0 1 0 0 0,3624765.0,6349.701911564724
1 2 2 0 1 0 0 0 1 0,4579891.875,4645.231105353535
2 0 2 2 3 2 1 0 2 0,4062235.625,21720.698167649236
2 2 3 1 2 2 0 0 2 0,2949809.375,16620.617535928264
3 1 0 0 1 1 2 1 1 0,2974595.625,11347.814243437188
3 3 0 3 0 1 1 0 2 0,1122656.5625,23432.64900891717
0 0 0 0 0 0 1 0 1 0,41069019.375,1586.9475108610754
0 2 0 2 3 0 2 1 1 0,2442588.75,17360.018919801696
1 0 1 1 2 0 1 0 1 0,5981011.875,6349.701911564724
1 2 2 0 1 0 0 0 2 0,7881354.375,4645.231105353535
2 0 2 2 3 2 1 1 0 0,1341190.0,21720.698167649236
2 2 3 1 2 2 0 1 0 0,886435.0,16620.617535928264
3 1 0 0 1 1 2 1 2 0,6254586.25,11347.814243437188
3 3 0 3 0 1 1 1 0 0,511525.0,23432.64900891717
0 0 0 0 0 0 1 1 0 0,26615930.0,1586.9475108610754
0 2 0 2 3 0 3 0 0 0,1414950.0,18896.018919801696
1 0 1 1 2 0 1 0 2 0,12260765.3125,6349.701911564724
1 2 2 0 1 0 0 1 0 0,2999390.0,4645.231105353535
2 0 2 2 3 2 1 1 1 0,2279936.25,21720.698167649236
2 2 3 1 2 2 0 1 1 0,1423321.875,16620.617535928264
3 1 0 0 1 1 3 0 0 0,1503400.0,17491.814243437188
3 3 0 3 0 1 1 1 1 0,821604.375,23432.64900891717
0 0 0 0 0 0 1 1 1 0,41067061.875,1586.9475108610754
0 2 0 2 3 0 3 0 1 0,2369075.625,18896.018919801696
1 0 1 1 2 0 1 1 0 0,3624345.0,6349.701911564724
1 2 2 0 1 0 0 1 1 0,4579689.375,4645.231105353535
2 0 2 2 3 2 1 1 2 0,4062235.625,21720.698167649236
2 2 3 1 2 2 0 1 2 0,2949809.375,16620.617535928264
3 1 0 0 1 1 3 0 1 0,2943405.0,17491.814243437188
3 3 0 3 0 1 1 1 2 0,1122656.5625,23432.64900891717
0 0 0 0 0 0 2 1 0 0,26326360.0,2482.9475108610754
0 2 0 2 3 0 3 1 0 0,1414770.0,18896.018919801696
1 0 1 1 2 0 1 1 1 0,5980809.375,6349.701911564724
1 2 2 0 1 0 0 1 2 0,7881283.125,4645.231105353535
2 0 2 2 3 2 2 0 0 0,1270490.0,27096.698167649236
2 2 3 1 2 2 1 0 0 0,779515.0,22380.617535928264
3 1 0 0 1 1 3 0 2 0,6213320.625,17491.814243437188
3 3 0 3 0 1 2 0 0 0,363340.0,27016.64900891717
0 0 0 0 0 0 2 1 1 0,40680101.25,2482.9475108610754
0 2 0 2 3 0 3 1 1 0,2369008.125,18896.018919801696
1 0 1 1 2 0 1 1 2 0,12260694.0625,6349.701911564724
1 2 2 0 1 0 1 0 0 0,2743370.0,7205.231105353535
2 0 2 2 3 2 2 0 1 0,2168808.75,27096.698167649236
2 2 3 1 2 2 1 0 1 0,1286094.375,22380.617535928264
3 1 0 0 1 1 3 1 0 0,1498000.0,17491.814243437188
3 3 0 3 0 1 2 0 1 0,584195.625,27016.64900891717
0 0 0 0 0 0 3 1 0 0,26271090.0,4018.9475108610754
0 2 0 2 3 1 0 0 0 0,2686315.0,15824.018919801698
1 0 1 1 2 0 2 0 0 0,3508815.0,9037.701911564724
1 2 2 0 1 0 1 0 1 0,4287127.5,7205.231105353535
2 0 2 2 3 2 2 0 2 0,3913400.3125,27096.698167649236
2 2 3 1 2 2 1 0 2 0,2816144.375,22380.617535928264
3 1 0 0 1 1 3 1 1 0,2940570.0,17491.814243437188
3 3 0 3 0 1 2 0 2 0,713841.875,27016.64900891717
0 0 0 0 0 0 3 1 1 0,40588768.125,4018.9475108610754
0 2 0 2 3 1 0 0 1 0,4165053.75,15824.018919801698
1 0 1 1 2 0 2 0 1 0,5843025.0,9037.701911564724
1 2 2 0 1 0 1 0 2 0,7562807.5,7205.231105353535
2 0 2 2 3 2 2 1 0 0,1270490.0,27096.698167649236
2 2 3 1 2 2 1 1 0 0,778745.0,22380.617535928264
3 1 0 0 1 1 3 1 2 0,6212038.125,17491.814243437188
3 3 0 3 0 1 2 1 0 0,363340.0,27016.64900891717
0 0 0 0 0 1 0 0 0 0,27309940.0,946.9475108610754
0 2 0 2 3 1 0 1 0 0,2686315.0,15824.018919801698
1 0 1 1 2 0 2 0 2 0,12072748.4375,9037.701911564724
1 2 2 0 1 0 1 1 0 0,2742110.0,7205.231105353535
2 0 2 2 3 2 2 1 1 0,2168808.75,27096.698167649236
2 2 3 1 2 2 1 1 1 0,1285700.625,22380.617535928264
